hyperparams/clip_range,hyperparams/ent_coef,hyperparams/n_steps,hyperparams/learning_rate,hyperparams/batch_size,hyperparams/seed,hyperparams/gamma,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,train/n_updates,train/clip_range,train/clip_fraction,train/std,train/learning_rate,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/loss
0.2,0.01,2048,0.0003,512,2,0.99,,,,,,,,,,,,,,,,,
,,,,,,,2048,200.0,431.14806250000004,542,1,3,,,,,,,,,,,
,,,,,,,4096,200.0,407.34592025,515,2,7,10,0.2,0.118603515625,1.1846526861190796,0.0003,5366.278967285156,0.0062353546,0.0,-0.003778586396947503,-9.361106562614442,2532.71630859375
,,,,,,,6144,200.0,420.0024471333333,513,3,11,20,0.2,0.077294921875,1.189308762550354,0.0003,5832.119848632812,0.009191379,0.0,-0.004901559429708868,-9.37893271446228,2802.66748046875
,,,,,,,8192,200.0,410.4518539500001,490,4,16,30,0.2,0.09169921875,1.1930021047592163,0.0003,5003.052160644531,0.008627584,0.0,-0.005374995182501152,-9.399862289428711,2503.1904296875
,,,,,,,10240,200.0,412.2771244705883,446,5,22,40,0.2,0.0638671875,1.1944067478179932,0.0003,5705.249572753906,0.0060926974,-1.1920928955078125e-07,-0.004343819443602115,-9.411070942878723,2710.865966796875
,,,,,,,12288,200.0,415.35868016393454,431,6,28,50,0.2,0.092529296875,1.193695068359375,0.0003,5434.060754394532,0.0076405974,0.0,-0.006291491823503748,-9.41366000175476,2583.08251953125
,,,,,,,14336,200.0,410.42214026760564,421,7,34,60,0.2,0.069189453125,1.1951382160186768,0.0003,4843.357177734375,0.010555559,-1.1920928955078125e-07,-0.00402936500031501,-9.414949750900268,2279.6591796875
,,,,,,,16384,200.0,407.10413525925924,410,8,39,70,0.2,0.0916015625,1.1958078145980835,0.0003,5924.350793457032,0.008048963,0.0,-0.00525808478705585,-9.420804953575134,2955.65283203125
,,,,,,,18432,200.0,402.2152984782608,400,9,46,80,0.2,0.097412109375,1.1969579458236694,0.0003,5153.6519775390625,0.009698936,0.0,-0.0061119031452108175,-9.422476291656494,2452.80224609375
,,,,,,,20480,200.0,398.0769354,392,10,52,90,0.2,0.0783203125,1.1979106664657593,0.0003,5773.226879882813,0.0063367137,0.0,-0.004465281806187704,-9.428758907318116,2797.338623046875
,,,,,,,22528,200.0,399.6910033000001,384,11,58,100,0.2,0.104931640625,1.1980259418487549,0.0003,5042.613110351563,0.008745106,0.0,-0.008382746606366709,-9.430521512031556,2411.72998046875
,,,,,,,24576,200.0,410.08870794999996,381,12,64,110,0.2,0.06962890625,1.1967805624008179,0.0003,5204.45419921875,0.0077334982,-1.1920928955078125e-07,-0.0050062429276295,-9.427132725715637,2507.37353515625
,,,,,,,26624,200.0,412.85748366000007,375,13,70,120,0.2,0.078759765625,1.199038028717041,0.0003,3829.5410034179686,0.0053869756,-1.1920928955078125e-07,-0.005641395691782236,-9.427981042861939,1763.718994140625
,,,,,,,28672,200.0,409.18420296000005,372,14,77,130,0.2,0.121484375,1.2025140523910522,0.0003,4417.758325195313,0.010636458,5.960464477539063e-08,-0.010696930717676878,-9.443520569801331,2086.746337890625
