hyperparams/learning_rate,hyperparams/ent_coef,hyperparams/n_steps,hyperparams/clip_range,hyperparams/batch_size,hyperparams/seed,hyperparams/gamma,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std,train/learning_rate
5e-05,0.01,2048,0.2,512,2,0.99,,,,,,,,,,,,,,,,,
,,,,,,,100.0,10,934.85032785,2048,1,189,,,,,,,,,,,
,,,,,,,100.0,21,965.5876359500002,4096,2,189,-8.213610625267028,0.065478515625,7552.0771484375,0.008508433,0.0,10,0.2,-0.004127930669346825,14088.182055664063,0.9738619327545166,5e-05
,,,,,,,100.0,31,998.3831371967213,6144,3,193,-8.215742039680482,0.2642578125,7317.8955078125,0.012080146,-1.1920928955078125e-07,20,0.2,0.004250858366140165,15802.089086914062,0.973966658115387,5e-05
,,,,,,,100.0,42,1013.3668606419753,8192,4,191,-8.216850733757019,0.2482421875,10054.3505859375,0.009692951,-1.1920928955078125e-07,30,0.2,0.009640197220142,17969.58984375,0.9741238951683044,5e-05
,,,,,,,100.0,53,1018.60374533,10240,5,192,-8.218288588523865,0.12685546875,7132.52734375,0.005758227,0.0,40,0.2,-0.0005961623275652528,15440.647924804687,0.9744455218315125,5e-05
,,,,,,,100.0,63,1051.0111589300002,12288,6,194,-8.219832849502563,0.24013671875,8308.837890625,0.011651651,2.384185791015625e-07,50,0.2,0.006367112032603472,17685.129150390625,0.9746990203857422,5e-05
,,,,,,,99.87,73,1105.4490640200002,14336,7,195,-8.22055983543396,0.046044921875,9719.59375,0.00428333,0.0,60,0.2,-0.003668975573964417,16853.682763671874,0.9747498035430908,5e-05
,,,,,,,99.69,83,1145.37871745,16384,8,196,-8.220767545700074,0.000244140625,10455.0078125,0.0017895056,0.0,70,0.2,-0.0013555870158597828,21822.675439453124,0.9747776389122009,5e-05
,,,,,,,99.69,93,1144.22319361,18432,9,197,-8.220854091644288,0.00166015625,10534.6845703125,0.0027015237,0.0,80,0.2,-0.00214836417871993,23741.73076171875,0.9747695922851562,5e-05
,,,,,,,99.69,103,1165.0595185,20480,10,197,-8.220862793922425,0.065283203125,10585.283203125,0.0058511514,0.0,90,0.2,-0.006364917440805584,21301.532861328124,0.9747899174690247,5e-05
,,,,,,,99.48,113,1180.01017109,22528,11,198,-8.220979690551758,0.0138671875,10981.744140625,0.0046788394,-1.1920928955078125e-07,100,0.2,-0.0025498439877992495,20928.32255859375,0.9747891426086426,5e-05
,,,,,,,99.79,123,1138.8322195700002,24576,12,198,-8.22085452079773,0.32041015625,10093.6240234375,0.038894456,0.0,110,0.2,0.02509125813958235,19945.07041015625,0.9748325943946838,5e-05
,,,,,,,99.79,133,1141.5808812,26624,13,199,-8.220540094375611,0.117236328125,7502.1279296875,0.012246661,0.0,120,0.2,-0.005425413366174326,13561.392114257813,0.9745548367500305,5e-05
,,,,,,,99.79,143,1149.92258342,28672,14,199,-8.219496846199036,0.025390625,9562.3388671875,0.0019937116,0.0,130,0.2,0.0020874308480415492,17716.597241210937,0.9744907021522522,5e-05
,,,,,,,99.79,153,1167.92021632,30720,15,199,-8.219290256500244,0.000439453125,9652.7197265625,0.0012073839,0.0,140,0.2,-0.0005553648486966267,18864.12919921875,0.9744474291801453,5e-05
,,,,,,,100.0,163,1189.52382354,32768,16,199,-8.2190993309021,0.000244140625,12984.955078125,0.001403817,-1.1920928955078125e-07,150,0.2,-0.001627652847673744,22835.760546875,0.9744584560394287,5e-05
,,,,,,,100.0,173,1257.93637555,34816,17,200,-8.219268536567688,0.000146484375,12374.5966796875,0.0011585515,-1.1920928955078125e-07,160,0.2,-0.0011083872115705163,23085.712353515624,0.9744946956634521,5e-05
,,,,,,,100.0,184,1265.8049374299999,36864,18,200,-8.219423651695251,0.0,12643.119140625,0.00032770511,-1.1920928955078125e-07,170,0.2,-0.0006588938529603183,27183.127783203126,0.9745040535926819,5e-05
,,,,,,,100.0,194,1260.08285776,38912,19,200,-8.219501328468322,0.000830078125,9511.6708984375,0.0027145932,-1.1920928955078125e-07,180,0.2,-0.00206280512502417,21302.91845703125,0.9745239615440369,5e-05
,,,,,,,99.87,204,1299.34911569,40960,20,200,-8.219669151306153,0.001708984375,8536.1728515625,0.0028246345,0.0,190,0.2,-0.0021100017824210227,16139.764794921875,0.9745514392852783,5e-05
,,,,,,,99.87,214,1299.0376552099997,43008,21,200,-8.219754719734192,0.0,12529.1416015625,0.0007190134,5.960464477539063e-08,200,0.2,-0.0010293822386302053,30352.233837890624,0.9745419025421143,5e-05
,,,,,,,99.87,224,1242.68854132,45056,22,200,-8.219712162017823,9.765625e-05,10377.1650390625,0.00091899664,0.0,210,0.2,-0.0012021325819659978,22927.5533203125,0.9745327830314636,5e-05
,,,,,,,99.87,234,1244.5584574,47104,23,200,-8.219311451911926,0.055810546875,5842.52587890625,0.005199187,5.960464477539063e-08,220,0.2,-0.0025505874305963515,12746.141284179688,0.9744578003883362,5e-05
,,,,,,,99.87,244,1212.82028721,49152,24,200,-8.219245910644531,0.007666015625,9490.837890625,0.004646713,0.0,230,0.2,-0.0018996051454450934,19109.9048828125,0.9744860529899597,5e-05
,,,,,,,99.72,254,1196.9645669200002,51200,25,200,-8.219486665725707,0.021533203125,8184.1962890625,0.0046248385,0.0,240,0.2,-0.003606187563855201,16377.8533203125,0.9745633006095886,5e-05
,,,,,,,99.72,265,1155.84320914,53248,26,200,-8.219806051254272,0.113037109375,12622.9443359375,0.055954527,0.0,250,0.2,0.0010270744969602674,24574.920825195313,0.9745391011238098,5e-05
,,,,,,,98.03,275,1166.6645448299998,55296,27,200,-8.21807312965393,0.2091796875,6630.61865234375,0.01593819,-1.1920928955078125e-07,260,0.2,0.0031569945334922523,14097.049389648437,0.9742488861083984,5e-05
,,,,,,,97.97,285,1144.7225024499999,57344,28,200,-8.216718006134034,0.422705078125,18497.7578125,0.021841519,-2.384185791015625e-07,270,0.2,0.042516353586688635,34875.83461914062,0.9742379188537598,5e-05
,,,,,,,97.97,295,1157.90571815,59392,29,200,-8.217712378501892,0.419775390625,10100.345703125,0.04898014,0.0,280,0.2,0.027496505645103753,25858.41181640625,0.9746208786964417,5e-05
,,,,,,,97.88,306,1175.9928762499999,61440,30,200,-8.218971419334412,0.015771484375,6995.46240234375,0.0029793181,-1.1920928955078125e-07,290,0.2,-0.000789261405589059,13112.355712890625,0.9746279716491699,5e-05
,,,,,,,97.88,316,1199.66446334,63488,31,200,-8.218793678283692,4.8828125e-05,12624.6552734375,0.0011656354,0.0,300,0.2,-0.001115425897296518,24172.822021484375,0.9746148586273193,5e-05
,,,,,,,99.27,326,1220.5452080800003,65536,32,200,-8.218734645843506,0.00078125,10144.7998046875,0.0024488815,0.0,310,0.2,-0.0016541525721549988,19948.0677734375,0.9746034145355225,5e-05
,,,,,,,99.33,336,1258.54857943,67584,33,200,-8.218637061119079,0.0197265625,8873.44140625,0.0052921865,-1.1920928955078125e-07,320,0.2,-0.002925029629841447,19093.376123046874,0.974598228931427,5e-05
,,,,,,,99.33,346,1278.1131633500001,69632,34,200,-8.218600630760193,0.0,10643.0146484375,0.0008977138,-1.1920928955078125e-07,330,0.2,-0.0009437533240998164,22243.00947265625,0.9746015667915344,5e-05
