hyperparams/batch_size,hyperparams/n_steps,hyperparams/ent_coef,hyperparams/clip_range,hyperparams/seed,hyperparams/gamma,hyperparams/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,train/entropy_loss,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/approx_kl,train/std,train/explained_variance,train/loss
1024,4096,0.01,0.2,2,0.99,0.0001,,,,,,,,,,,,,,,,,
,,,,,,,13,3537.0289015094345,4096,75.73584905660377,305,1,,,,,,,,,,,
,,,,,,,27,3553.2910002199997,8192,79.93,300,2,-23.30640015602112,0.000732421875,10,-0.0008932589335017838,293539.32265625,0.0001,0.2,0.0018703952,284.75933837890625,0.3269873857498169,136078.78125
,,,,,,,42,3352.1380378199997,12288,80.41,291,3,-23.306614637374878,0.0138916015625,20,-0.0027994320582365615,281370.82578125,0.0001,0.2,0.0049647773,284.7670593261719,0.3621840476989746,126450.46875
,,,,,,,55,3433.4577588200004,16384,80.27,292,4,-23.30683536529541,0.02548828125,30,-0.0032308291643857955,233033.316015625,0.0001,0.2,0.0052612186,284.7752380371094,0.26375091075897217,106006.953125
,,,,,,,69,3841.4923747599996,20480,89.42,294,5,-23.307027959823607,0.0022705078125,40,-0.0013944150210591032,261596.5265625,0.0001,0.2,0.0025155689,284.7684020996094,0.1673445701599121,118258.0078125
,,,,,,,83,3825.68815191,24576,85.52,292,6,-23.307203912734984,0.0,50,-0.0004283476184355095,252330.471875,0.0001,0.2,0.000500222,284.7664794921875,0.10936450958251953,118384.5703125
,,,,,,,98,3268.32905644,28672,74.38,290,7,-23.307410192489623,0.0192138671875,60,-0.002715602099488024,235548.038671875,0.0001,0.2,0.005080377,284.77313232421875,0.12229043245315552,109991.0234375
,,,,,,,113,3285.5830352500006,32768,72.79,288,8,-23.30766887664795,0.011376953125,70,-0.0017199186549987644,219057.676953125,0.0001,0.2,0.0037434201,284.7812194824219,0.2267017960548401,103288.0234375
,,,,,,,127,3411.7557580800003,36864,82.81,290,9,-23.308076906204224,0.0210205078125,80,-0.0028585164778633042,238078.470703125,0.0001,0.2,0.005152115,284.7709655761719,0.2605680227279663,113132.15625
,,,,,,,141,3203.2847949299994,40960,84.3,289,10,-23.30818748474121,0.0131591796875,90,-0.001897160691441968,175497.19140625,0.0001,0.2,0.0030917195,284.80902099609375,0.2338780164718628,79232.6875
,,,,,,,157,3021.77333681,45056,71.74,286,11,-23.30836157798767,0.0229248046875,100,-0.0027133922412758693,193529.5921875,0.0001,0.2,0.004407839,284.8529357910156,0.3084217309951782,92693.1796875
,,,,,,,171,3266.45799725,49152,76.63,286,12,-23.30895838737488,0.014990234375,110,-0.0025215356377884745,193346.05859375,0.0001,0.2,0.0040032663,284.9236145019531,0.5085751712322235,97588.4375
,,,,,,,186,3383.1326961199998,53248,78.4,284,13,-23.309934234619142,0.015283203125,120,-0.002265643980354071,175933.703125,0.0001,0.2,0.0041693193,285.014892578125,0.3711269497871399,86621.0390625
,,,,,,,202,3400.7282300099996,57344,74.32,282,14,-23.310374546051026,0.0198974609375,130,-0.002674379089148715,212830.728125,0.0001,0.2,0.0040392578,285.0709228515625,0.3878999948501587,100544.1015625
,,,,,,,218,3110.2955285599996,61440,74.8,281,15,-23.309772729873657,0.0049072265625,140,-0.0018001716700382531,217354.87421875,0.0001,0.2,0.0023681014,285.0937194824219,0.4134286046028137,106540.3671875
,,,,,,,234,2874.6008187300004,65536,69.47,279,16,-23.309390783309937,7.32421875e-05,150,-0.0005449329386465251,183803.435546875,0.0001,0.2,0.0009489734,285.14892578125,0.3735042214393616,85092.5625
,,,,,,,249,3140.7780712799995,69632,73.35,278,17,-23.309780263900755,0.0081298828125,160,-0.0019216360698919744,193235.221875,0.0001,0.2,0.0024429664,285.24029541015625,0.35898858308792114,90050.46875
,,,,,,,264,3399.37527712,73728,79.9,278,18,-23.310207653045655,0.00205078125,170,-0.0009919542470015585,189515.850390625,0.0001,0.2,0.002932324,285.2636413574219,0.5044022798538208,93396.953125
,,,,,,,280,3441.2236358299992,77824,78.32,277,19,-23.31041555404663,0.0091796875,180,-0.0013874001684598624,198943.080078125,0.0001,0.2,0.0046281507,285.2889709472656,0.35167598724365234,95008.7734375
,,,,,,,294,3121.3857560799993,81920,76.85,278,20,-23.31106472015381,0.015869140625,190,-0.002152484883845318,218789.086328125,0.0001,0.2,0.0040047895,285.3482666015625,0.23931264877319336,105314.5
,,,,,,,308,3344.354325529999,86016,86.16,279,21,-23.312434911727905,0.0091796875,200,-0.0018078275083098561,155516.124609375,0.0001,0.2,0.0040358566,285.4070739746094,0.24176162481307983,75568.53125
,,,,,,,322,3571.82064555,90112,89.75,279,22,-23.313513040542603,0.01201171875,210,-0.001827657170360908,218791.54921875,0.0001,0.2,0.0023813727,285.481201171875,0.4037964940071106,102377.0546875
,,,,,,,336,3425.088857839999,94208,83.48,279,23,-23.314314126968384,0.0144287109375,220,-0.0020344795571872964,196214.040625,0.0001,0.2,0.0039324365,285.5813293457031,0.3494011163711548,93875.578125
